1429:It 
2540:Three Billboards Outside Ebbing, Missouri 
2532:Avengers: Infinity War - Part I 
1081:Wind River 
4457:Logan 
1416:Lady Bird 
3797:Blade Runner 2049 
3075:Dunkirk 
3395:Get Out 
2978:Wonder Woman 
1200:Pirates of the Caribbean: Dead Men Tell No Tales 
1838:Split 
1840:John Wick: Chapter Two 
1322:Ghost in the Shell 
2813:Baby Driver 
2229:Star Wars: The Last Jedi 
4549:Guardians of the Galaxy 2 
3314:Thor: Ragnarok 
2613:Untitled Spider-Man Reboot 
1206:Alien: Covenant 
1447:The Shape of Water 
1837:Black Panther 
999:Life 
1577:Deadpool 2 
991:War for the Planet of the Apes 
1250:Kingsman: The Golden Circle 
963:Jumanji: Welcome to the Jungle 
1340:Beauty and the Beast 
2440:Coco 
1090:The Big Sick 
1062:Kong: Skull Island 
892:Gifted 
605:Three Billboards Outside Ebbing, Missouri ; It ; 
919:Avengers: Infinity War - Part I ; Three Billboards Outside Ebbing, Missouri ; 
663:Wind River ; Three Billboards Outside Ebbing, Missouri ; 
573:Avengers: Infinity War - Part I ; It ; 
820:Blade Runner 2049 ; Lady Bird ; 
1900:Blade Runner 2049 ; Logan ; 
782:Lady Bird ; Dunkirk ; 
620:Logan ; Lady Bird ; 
1681:Logan ; Dunkirk ; 
1724:Blade Runner 2049 ; Dunkirk ; 
796:Split ; Blade Runner 2049 ; 
860:Wonder Woman ; Split ; 
759:Split ; Dunkirk ; 
740:Pirates of the Caribbean: Dead Men Tell No Tales ; Wonder Woman ; 
1224:Wonder Woman ; Dunkirk ; 
1233:Wonder Woman ; Get Out ; 
1403:Get Out ; Blade Runner 2049 ; 
1283:Wonder Woman ; Blade Runner 2049 ; 
1433:Get Out ; Dunkirk ; 
1136:Split ; Get Out ; 
523:Pirates of the Caribbean: Dead Men Tell No Tales ; Blade Runner 2049 ; 
846:Split ; Baby Driver ; 
719:Star Wars: The Last Jedi ; John Wick: Chapter Two ; 
